transaction_id,account_id,transaction_date,transaction_type,transaction_channel,merchant_name,amount,reference,balance_after_transaction,is_fraud
300001,200001,2024-12-23,Card Purchase,Mobile App,Woolworths,4504,Woolworths,35504,False
300002,200001,2025-08-16,Salary,Mobile App,Employer,2508,MONTHLY SALARY,38012,False
300003,200001,2025-03-02,Deposit,Mobile App,This Bank,1221,EFT DEPOSIT,39233,False
300004,200001,2025-12-29,Withdrawal,POS,This Bank,2087,ATM CASH WITHDRAWAL,37146,False
300005,200001,2025-06-23,Withdrawal,Online,This Bank,939,ATM CASH WITHDRAWAL,36207,False
300006,200001,2026-05-20,Deposit,Online,This Bank,1048,EFT DEPOSIT,37255,False
300007,200001,2025-12-10,Salary,Mobile App,Employer,440,MONTHLY SALARY,37695,False
300008,200001,2025-05-10,Salary,ATM,Employer,3494,MONTHLY SALARY,41189,False
300009,200002,2025-12-01,Card Purchase,Online,Uber,2048,Uber,27958,False
300010,200002,2025-11-12,Deposit,Online,This Bank,3058,CASH DEPOSIT,31016,False
300011,200002,2026-05-10,Card Purchase,Online,Shell,2815,Shell,28201,False
300012,200002,2026-03-22,EFT,Online,Woolworths,3254,EFT TO Woolworths,24947,False
300013,200002,2026-04-12,EFT,Mobile App,Landlord,1528,EFT TO Landlord,23419,False
300014,200002,2026-05-24,Card Purchase,Branch,Woolworths,1605,Woolworths,21814,True
300015,200003,2025-12-21,Card Purchase,Online,Shell,2125,Shell,27881,False
300016,200003,2026-07-01,Card Purchase,Online,Shell,3880,Shell,24001,False
300017,200003,2024-03-26,Card Purchase,Online,Shell,4855,Shell,19146,False
300018,200003,2026-06-01,Withdrawal,Online,This Bank,3420,ATM CASH WITHDRAWAL,15726,False
300019,200003,2023-08-23,Withdrawal,Branch,This Bank,1215,ATM CASH WITHDRAWAL,14511,False
300020,200003,2024-01-02,Deposit,ATM,This Bank,1193,EFT DEPOSIT,15704,False
300021,200004,2023-01-15,Deposit,Online,This Bank,3822,CASH DEPOSIT,33828,False
300022,200004,2023-11-25,Withdrawal,Online,This Bank,532,ATM CASH WITHDRAWAL,33296,False
300023,200004,2025-01-15,Withdrawal,Branch,This Bank,1733,ATM CASH WITHDRAWAL,31563,False
300024,200004,2024-05-18,Salary,Branch,Employer,2913,MONTHLY SALARY,34476,False
300025,200004,2023-12-09,Withdrawal,POS,This Bank,685,ATM CASH WITHDRAWAL,33791,False
300026,200004,2023-01-17,EFT,Online,Takealot,3811,EFT TO Takealot,37602,False
300027,200005,2026-05-21,EFT,POS,SARS,3370,EFT TO SARS,26636,False
300028,200005,2026-01-31,Deposit,Online,This Bank,1870,CASH DEPOSIT,28506,False
300029,200005,2024-03-17,Withdrawal,Online,This Bank,4443,ATM CASH WITHDRAWAL,24063,False
300030,200005,2024-02-07,EFT,Branch,Municipality,3564,EFT TO Municipality,20499,False
300031,200005,2025-10-24,Card Purchase,Mobile App,Uber,4202,Uber,16297,False
300032,200005,2024-03-12,Card Purchase,Online,Uber,208,Uber,16089,False
300033,200006,2025-10-17,Deposit,Online,This Bank,4469,EFT DEPOSIT,54479,False
300034,200006,2025-06-24,Card Purchase,Branch,Pick n Pay,289,Pick n Pay,54190,False
300035,200006,2026-01-25,Salary,Online,Employer,4960,MONTHLY SALARY,59150,False
300036,200006,2025-09-04,Deposit,Mobile App,This Bank,923,EFT DEPOSIT,60073,False
300037,200006,2026-05-06,Card Purchase,ATM,Uber,2369,Uber,57704,False
300038,200006,2025-07-06,Withdrawal,POS,This Bank,3142,ATM CASH WITHDRAWAL,54562,False
300039,200006,2026-07-05,Salary,ATM,Employer,2631,MONTHLY SALARY,57193,False
300040,200006,2025-06-01,Deposit,Branch,This Bank,2100,EFT DEPOSIT,59293,False
300041,200006,2026-05-14,Salary,Branch,Employer,1834,MONTHLY SALARY,61127,False
300042,200006,2026-05-13,Card Purchase,ATM,Pick n Pay,3730,Pick n Pay,57397,False
300043,200007,2026-07-01,Deposit,Mobile App,This Bank,2143,EFT DEPOSIT,47152,False
